categorie,ca_ttc,ca_ht,annee,mois,mois_nom,date_id,hotel_id,hotel
DIVERS,6035.0,5584.343,2025,4,Avril,202504,1,RYL
HEBERGEMENT,2311422.956,2138820.167,2025,5,Mai,202505,1,RYL
RESTAURATION,51825.3,47955.307,2025,5,Mai,202505,1,RYL
BAR,23472.0,21719.257,2025,5,Mai,202505,1,RYL
DIVERS,843.5,780.512,2025,5,Mai,202505,1,RYL
HEBERGEMENT,2929196.148,2710461.875,2025,6,Juin,202506,1,RYL
RESTAURATION,50159.0,46413.436,2025,6,Juin,202506,1,RYL
BAR,13559.0,12546.497,2025,6,Juin,202506,1,RYL
DIVERS,342.0,316.462,2025,6,Juin,202506,1,RYL
HEBERGEMENT,4259781.923,3941678.655,2025,7,Juillet,202507,1,RYL
RESTAURATION,50562.0,46786.343,2025,7,Juillet,202507,1,RYL
BAR,16776.0,15523.273,2025,7,Juillet,202507,1,RYL
DIVERS,1105.0,1022.485,2025,7,Juillet,202507,1,RYL
HEBERGEMENT,4308995.339,3987226.186,2025,8,Aout,202508,1,RYL
RESTAURATION,65393.0,60509.854,2025,8,Aout,202508,1,RYL
BAR,18868.0,17469.326,2025,8,Aout,202508,1,RYL
DIVERS,1820.335,1684.403,2025,8,Aout,202508,1,RYL
HEBERGEMENT,3002937.347,2778696.536,2025,9,Septembre,202509,1,RYL
RESTAURATION,24277.0,22464.142,2025,9,Septembre,202509,1,RYL
BAR,8199.0,7586.75,2025,9,Septembre,202509,1,RYL
DIVERS,808.0,747.664,2025,9,Septembre,202509,1,RYL
HEBERGEMENT,2770087.853,2563234.804,2025,10,Octobre,202510,1,RYL
RESTAURATION,29697.0,27479.411,2025,10,Octobre,202510,1,RYL
BAR,16814.0,15558.435,2025,10,Octobre,202510,1,RYL
DIVERS,732.5,677.801,2025,10,Octobre,202510,1,RYL
HEBERGEMENT,1399984.9,1295442.675,2025,11,Novembre,202511,1,RYL
RESTAURATION,32053.5,29659.943,2025,11,Novembre,202511,1,RYL
BAR,13926.0,12886.092,2025,11,Novembre,202511,1,RYL
DIVERS,1783.6,1650.411,2025,11,Novembre,202511,1,RYL
HEBERGEMENT,1241328.073,1148633.361,2025,12,Decembre,202512,1,RYL
RESTAURATION,231061.072,213806.859,2025,12,Decembre,202512,1,RYL
BAR,16451.0,15222.541,2025,12,Decembre,202512,1,RYL
DIVERS,1208.3,1118.072,2025,12,Decembre,202512,1,RYL
HEBERGEMENT,663016.013,613506.073,2023,1,Janvier,202301,2,BEL
RESTAURATION,19766.5,18290.46,2023,1,Janvier,202301,2,BEL
BAR,12986.0,12016.286,2023,1,Janvier,202301,2,BEL
DIVERS,27415.95,25368.695,2023,1,Janvier,202301,2,BEL
