annee,mois,mois_nom,hotel_id,hotel,personnel,achats_consommation,services_exterieurs,autres_services_exterieurs,charges_diverses,charges_financieres,impots_taxes,dotations_amort,energie,eau,electricite,gaz,carburant,autres_exploit,total_charges
2023,11,Novembre,1,RYL,367058.643,278354.196,0.0,146333.041,0.0,173.569,32105.341,0.0,76880.798,11704.771,48278.649,16582.082,315.296,146333.041,900905.588
2023,12,Decembre,1,RYL,408855.081,322732.691,36664.405,187083.939,16199.059,604.791,35401.562,4533790.919,76880.798,11704.771,48278.649,16582.082,315.296,239947.403,5618213.245
2024,1,Janvier,1,RYL,599456.057,329832.416,19826.54,13118.338,0.0,409.551,32562.696,0.0,86237.276,23417.435,45096.253,17716.462,7.125,32944.878,1081442.874
2024,2,Fevrier,1,RYL,342279.904,389790.271,9333.719,33297.606,0.0,282.779,11011.326,0.0,86237.276,23417.435,45096.253,17716.462,7.125,42631.325,872232.8809999999
2024,3,Mars,1,RYL,367184.39,337016.615,7490.224,23905.326,0.0,1197.94,9465.04,0.0,86237.276,23417.435,45096.253,17716.462,7.125,31395.55,832496.811
2024,4,Avril,1,RYL,467822.357,503926.739,7887.258,80344.701,0.0,573.696,12072.53,0.0,86237.276,23417.435,45096.253,17716.462,7.125,88231.959,1158864.557
2024,5,Mai,1,RYL,450520.996,660487.19,1688.04,53806.221,0.0,1340.437,11680.44,0.0,86237.276,23417.435,45096.253,17716.462,7.125,55494.261,1265760.5999999999
2024,6,Juin,1,RYL,502176.945,703918.528,3362.804,124725.259,2533.039,299.656,12959.355,0.0,86237.276,23417.435,45096.253,17716.462,7.125,130621.102,1436212.862
2024,7,Juillet,1,RYL,698974.09,703096.764,7072.556,43647.909,3600.0,1944.427,19181.036,0.0,86237.276,23417.435,45096.253,17716.462,7.125,54320.465,1563754.058
2024,8,Aout,1,RYL,462297.058,830545.575,2267.534,179946.568,0.0,1293.876,11972.2,0.0,86237.276,23417.435,45096.253,17716.462,7.125,182214.102,1574560.087
2024,9,Septembre,1,RYL,508066.194,605601.374,6173.797,43682.322,34984.511,718.941,13172.85,0.0,86237.276,23417.435,45096.253,17716.462,7.125,84840.63,1298637.265
2024,10,Octobre,1,RYL,628853.206,723413.596,8212.483,126106.397,0.0,923.266,17221.738,0.0,86237.276,23417.435,45096.253,17716.462,7.125,134318.88,1590967.962
2024,11,Novembre,1,RYL,499190.601,593449.012,4988.464,45485.971,10000.0,9601.706,12942.608,0.0,86237.276,23417.435,45096.253,17716.462,7.125,60474.435,1261895.638
2024,12,Decembre,1,RYL,539977.372,630914.72,13560.839,114225.502,7322.571,18635.727,14458.747,4243962.24,86237.276,23417.435,45096.253,17716.462,7.125,135108.912,5669294.994
2025,1,Janvier,1,RYL,777668.643,439678.127,12459.64,97360.519,0.0,15857.887,63056.606,0.0,95498.937,22031.501,53810.73,19618.356,38.351,109820.159,1501580.359
2025,2,Fevrier,1,RYL,460588.082,474561.112,4329.752,30743.257,1942.991,2961.488,67004.978,0.0,95498.937,22031.501,53810.73,19618.356,38.351,37016.0,1137630.597
2025,3,Mars,1,RYL,468621.21,451604.503,4742.972,49201.628,8007.5,2203.23,62958.966,0.0,95498.937,22031.501,53810.73,19618.356,38.351,61952.1,1142838.946
2025,4,Avril,1,RYL,516766.743,613139.182,6188.025,21400.069,0.0,327.451,115498.481,0.0,95498.937,22031.501,53810.73,19618.356,38.351,27588.094,1368818.888
2025,5,Mai,1,RYL,510822.711,689704.035,2861.678,48065.166,0.0,709.561,128105.798,0.0,95498.937,22031.501,53810.73,19618.356,38.351,50926.844,1475767.886
2025,6,Juin,1,RYL,532711.625,695634.712,19756.245,125907.829,0.0,19828.412,156628.117,0.0,95498.937,22031.501,53810.73,19618.356,38.351,145664.074,1645965.877
2025,7,Juillet,1,RYL,854456.448,793602.466,6106.655,67818.982,0.0,2246.394,229718.094,0.0,95498.937,22031.501,53810.73,19618.356,38.351,73925.637,2049447.976
2025,8,Aout,1,RYL,523951.464,876729.677,19008.978,45831.089,0.0,2557.469,223387.203,0.0,95498.937,22031.501,53810.73,19618.356,38.351,64840.067,1786964.817
2025,9,Septembre,1,RYL,509901.009,702048.735,7802.929,237506.446,0.0,176.32,158103.436,0.0,95498.937,22031.501,53810.73,19618.356,38.351,245309.375,1711037.812
2025,10,Octobre,1,RYL,702377.462,699208.988,18863.848,43964.463,0.0,240.133,153578.306,0.0,95498.937,22031.501,53810.73,19618.356,38.351,62828.311,1713732.137
2025,11,Novembre,1,RYL,515391.426,563016.889,7526.985,104737.325,0.0,667.583,82341.185,0.0,95498.937,22031.501,53810.73,19618.356,38.351,112264.31,1369180.3299999998
2025,12,Decembre,1,RYL,499211.12,693088.277,17102.641,80039.533,0.0,754.09,83965.637,4552436.607,95498.937,22031.501,53810.73,19618.356,38.351,97142.174,6022096.842
2023,1,Janvier,2,BEL,381490.738,180698.925,8324.077,149953.754,0.0,67672.631,12831.006,0.0,167132.17,25445.154,104953.585,36048.005,685.425,158277.831,968103.301
2023,2,Fevrier,2,BEL,186852.329,210271.935,1908.855,60517.682,665.096,31458.253,11055.375,0.0,167132.17,25445.154,104953.585,36048.005,685.425,63091.633,669861.6950000001
2023,3,Mars,2,BEL,203920.446,216173.542,5355.431,51041.373,29.55,209134.241,11797.48,0.0,167132.17,25445.154,104953.585,36048.005,685.425,56426.354,864584.233
2023,4,Avril,2,BEL,236140.782,281258.131,8554.53,96093.632,3692.343,168130.812,15289.91,0.0,167132.17,25445.154,104953.585,36048.005,685.425,108340.505,976292.31
2023,5,Mai,2,BEL,287996.68,525553.734,18666.549,64711.603,170.5,919001.62,25657.101,0.0,167132.17,25445.154,104953.585,36048.005,685.425,83548.652,2008889.9570000002
2023,6,Juin,2,BEL,313653.476,785496.996,8116.381,290125.477,17539.152,391006.156,29305.044,0.0,167132.17,25445.154,104953.585,36048.005,685.425,315781.01,2002374.8520000002
2023,7,Juillet,2,BEL,434338.67,1003235.809,8339.331,115874.041,900.0,370875.557,165879.133,0.0,167132.17,25445.154,104953.585,36048.005,685.425,125113.372,2266574.711
2023,8,Aout,2,BEL,313382.847,1100495.428,17874.797,76905.393,3818.8,548.17,50704.675,0.0,167132.17,25445.154,104953.585,36048.005,685.425,98598.99,1730862.28
2023,9,Septembre,2,BEL,347997.219,912207.54,9141.452,275471.147,4130.0,2042878.031,32577.081,0.0,167132.17,25445.154,104953.585,36048.005,685.425,288742.599,3791534.64
2023,10,Octobre,2,BEL,296382.0,804027.473,22889.364,71870.668,5000.0,110329.196,30964.73,0.0,167132.17,25445.154,104953.585,36048.005,685.425,99760.032,1508595.601
2023,11,Novembre,2,BEL,264648.388,383017.809,10406.277,251319.865,10000.0,569335.751,15937.267,0.0,167132.17,25445.154,104953.585,36048.005,685.425,271726.142,1671797.527
2023,12,Decembre,2,BEL,335716.504,584160.636,107843.552,1559806.202,6455.853,610623.801,0.0,1931455.978,167132.17,25445.154,104953.585,36048.005,685.425,1674105.607,5303194.6959999995
2024,1,Janvier,2,BEL,295515.161,319135.298,12095.816,222874.927,0.0,0.0,12292.587,0.0,158676.587,43088.081,82977.106,32598.291,13.11,234970.743,1020590.376
2024,2,Fevrier,2,BEL,206814.511,394196.575,4288.76,80798.335,10000.0,0.0,32658.503,0.0,158676.587,43088.081,82977.106,32598.291,13.11,95087.095,887433.2710000001
2024,3,Mars,2,BEL,255161.553,189270.352,22082.617,112676.801,20000.0,55626.571,26982.545,0.0,158676.587,43088.081,82977.106,32598.291,13.11,154759.418,840477.0260000001
2024,4,Avril,2,BEL,311742.889,679200.064,11914.989,156361.091,0.0,64290.513,52412.797,0.0,158676.587,43088.081,82977.106,32598.291,13.11,168276.08,1434598.93
2024,5,Mai,2,BEL,340333.5,803836.663,12382.098,108113.651,0.0,175095.372,76196.833,0.0,158676.587,43088.081,82977.106,32598.291,13.11,120495.749,1674634.704
2024,6,Juin,2,BEL,334850.64,913541.576,109062.805,290275.18,577.892,1217718.235,86072.646,0.0,158676.587,43088.081,82977.106,32598.291,13.11,399915.877,3110775.561
2024,7,Juillet,2,BEL,532838.154,598123.406,21426.398,96861.472,900.498,57606.097,137026.177,0.0,158676.587,43088.081,82977.106,32598.291,13.11,119188.368,1603458.7889999999
2024,8,Aout,2,BEL,391549.036,1329423.607,10157.518,126711.244,0.0,400442.985,144318.603,0.0,158676.587,43088.081,82977.106,32598.291,13.11,136868.762,2561279.58
2024,9,Septembre,2,BEL,374942.511,849672.384,4135.7,78097.71,20000.001,207834.172,87382.636,0.0,158676.587,43088.081,82977.106,32598.291,13.11,102233.411,1780741.701
2024,10,Octobre,2,BEL,457126.832,880035.976,26366.908,164000.382,58316.043,249552.018,82779.516,0.0,158676.587,43088.081,82977.106,32598.291,13.11,248683.333,2076854.262
2024,11,Novembre,2,BEL,369030.192,542745.72,12522.236,298546.467,0.0,369327.858,84753.556,0.0,158676.587,43088.081,82977.106,32598.291,13.11,311068.703,1835602.616
2024,12,Decembre,2,BEL,378852.172,559413.703,90854.883,202873.415,713.5,632721.559,88728.692,3199140.153,158676.587,43088.081,82977.106,32598.291,13.11,294441.798,5311974.664
2025,1,Janvier,2,BEL,570301.419,402693.606,3105.48,196624.787,0.0,0.0,32277.969,0.0,187018.751,43145.022,105379.345,38419.28,75.104,199730.267,1392022.012
2025,2,Fevrier,2,BEL,319093.626,379305.026,16674.873,309504.85,15000.0,0.0,31013.292,0.0,187018.751,43145.022,105379.345,38419.28,75.104,341179.723,1257610.418
2025,3,Mars,2,BEL,328729.204,274455.315,10267.494,121009.661,0.0,8583.606,24834.968,0.0,187018.751,43145.022,105379.345,38419.28,75.104,131277.155,954898.9990000001
2025,4,Avril,2,BEL,374681.287,678437.643,11661.307,83292.522,10000.0,75511.553,58445.149,0.0,187018.751,43145.022,105379.345,38419.28,75.104,104953.829,1479048.212
2025,5,Mai,2,BEL,417498.545,759853.644,43382.831,75953.31,1000.0,47217.306,68624.921,0.0,187018.751,43145.022,105379.345,38419.28,75.104,120336.141,1600549.308
2025,6,Juin,2,BEL,431270.486,860261.544,44970.378,175856.139,0.0,1451902.999,80773.13,0.0,187018.751,43145.022,105379.345,38419.28,75.104,220826.517,3232053.427
2025,7,Juillet,2,BEL,714827.785,1263661.839,15271.884,93261.785,3882.559,118168.791,130089.074,0.0,187018.751,43145.022,105379.345,38419.28,75.104,112416.228,2526182.468
2025,8,Aout,2,BEL,450332.636,1232098.056,71536.345,215443.023,11850.0,62949.408,133550.729,0.0,187018.751,43145.022,105379.345,38419.28,75.104,298829.368,2364778.948
2025,9,Septembre,2,BEL,436502.854,943740.748,95090.493,139300.989,800.0,639636.087,82229.956,0.0,187018.751,43145.022,105379.345,38419.28,75.104,235191.482,2524319.878
2025,10,Octobre,2,BEL,535942.658,767164.005,3107.715,377853.537,0.0,695150.014,73414.0,0.0,187018.751,43145.022,105379.345,38419.28,75.104,380961.252,2639650.68
2025,11,Novembre,2,BEL,452391.844,584287.724,28875.475,292103.585,0.0,107400.979,44047.225,0.0,187018.751,43145.022,105379.345,38419.28,75.104,320979.06,1696125.583
2025,12,Decembre,2,BEL,453659.713,686394.561,136949.067,206443.682,0.0,292059.468,49186.739,2094016.223,187018.751,43145.022,105379.345,38419.28,75.104,343392.749,4105728.204
2023,1,Janvier,3,SOL,334778.338,49963.872,5268.273,6073.949,0.0,0.0,8877.511,0.0,90251.372,13740.383,56674.936,19465.923,370.13,11342.222,495213.315
2023,2,Fevrier,3,SOL,171540.802,43743.514,1663.99,27888.729,0.0,0.0,4698.931,0.0,90251.372,13740.383,56674.936,19465.923,370.13,29552.719,339787.338
2023,3,Mars,3,SOL,188719.16,15350.717,4815.0,84629.434,10000.0,581437.153,5660.687,0.0,90251.372,13740.383,56674.936,19465.923,370.13,99444.434,980863.523
2023,4,Avril,3,SOL,193656.746,122172.637,11227.812,10802.219,0.0,0.0,8998.321,0.0,90251.372,13740.383,56674.936,19465.923,370.13,22030.031,437109.107
2023,5,Mai,3,SOL,238113.765,310549.956,29322.621,28339.443,0.0,0.0,17981.732,0.0,90251.372,13740.383,56674.936,19465.923,370.13,57662.064,714558.889
2023,6,Juin,3,SOL,282054.192,475255.487,6837.593,24916.029,1722.0,0.0,30056.896,0.0,90251.372,13740.383,56674.936,19465.923,370.13,33475.622,911093.569
2023,7,Juillet,3,SOL,447649.406,565865.848,15917.126,33463.067,0.0,0.0,55998.177,0.0,90251.372,13740.383,56674.936,19465.923,370.13,49380.193,1209144.996
2023,8,Aout,3,SOL,268996.377,811482.645,8249.908,27249.709,0.0,0.0,63385.454,0.0,90251.372,13740.383,56674.936,19465.923,370.13,35499.617,1269615.465
2023,9,Septembre,3,SOL,295587.291,578362.874,4781.459,14462.901,6000.0,0.0,39444.974,0.0,90251.372,13740.383,56674.936,19465.923,370.13,25244.36,1028890.8709999999
2023,10,Octobre,3,SOL,344243.584,200748.144,20033.676,18479.742,7800.0,20.36,28294.223,0.0,90251.372,13740.383,56674.936,19465.923,370.13,46313.418,709871.101
2023,11,Novembre,3,SOL,208237.045,153227.333,3192.759,8875.866,0.0,0.0,13208.102,0.0,90251.372,13740.383,56674.936,19465.923,370.13,12068.625,476992.477
2023,12,Decembre,3,SOL,201417.616,268050.44,8372.159,10281.51,1722.0,0.0,17496.461,416063.488,90251.372,13740.383,56674.936,19465.923,370.13,20375.669,1013655.046
